name,birthYear,birthDate,gender,birthplace
Blair Russel,1880-01-01T00:00:00+02:00,1880-09-17,male,{Canada|Montreal|Quebec}
Chief Jones,1880-01-01T00:00:00+02:00,1880-01-01T00:00:00+02:00,male,{Ontario|Renfrew Ontario|Canada}
Charles Masson (ice hockey),1880-01-01T00:00:00+02:00,1880-12-06,male,{Ontario|Canada}
Percy LeSueur,1881-01-01T00:00:00+02:00,{1881-11-18|1881-11-21},male,{Quebec City|Canada|Quebec}
Larry Gilmour,1881-01-01T00:00:00+02:00,1881-10-10,male,{Ontario|Lanark Ontario|Canada}
Barney Holden,1881-01-01T00:00:00+02:00,1881-03-21,male,{Manitoba|Winnipeg|Canada}
Archie Hooper,1881-01-01T00:00:00+02:00,{1881-09-11|1881-09-17},male,{Saint-Lambert Quebec|Canada|Quebec}
Oliver Seibert,1881-01-01T00:00:00+02:00,1881-03-18,,{Ontario|Kitchener Ontario|Canada}
Bert Lindsay,1881-01-01T00:00:00+02:00,1881-07-23,,{Ontario|Centre Wellington Ontario|Canada}
Billy Bawlf,1881-01-01T00:00:00+02:00,1881-01-17,male,{Manitoba|Winnipeg|Canada}
Bones Allan,1881-01-01T00:00:00+02:00,1881-09-12,male,{Ontario|Cornwall Ontario|Canada}
Bruce Stuart,1881-01-01T00:00:00+02:00,1881-11-30,,{Ontario|Ottawa|Canada}
Jimmy Gardner (ice hockey),1881-01-01T00:00:00+02:00,1881-05-21,male,{Canada|Montreal|Quebec}
Joseph Cattarinich,1881-01-01T00:00:00+02:00,1881-11-12,male,{Lévis Quebec|Canada|Quebec}
Jack Fraser (ice hockey born 1882),1882-01-01T00:00:00+02:00,1882-05-28,male,{Ontario|Renfrew Ontario|Canada}
Jack Marks (ice hockey),1882-01-01T00:00:00+02:00,1882-02-08,male,{Ontario|Brantford|Canada}
Jack Winchester,1882-01-01T00:00:00+02:00,1882-01-01T00:00:00+02:00,male,{Ontario|Belleville Ontario|Canada}
Fred Whitcroft,1882-01-01T00:00:00+02:00,1882-12-20,,{Ontario|Port Perry|Canada}
Frank McGee (ice hockey),1882-01-01T00:00:00+02:00,1882-11-04,male,{Ontario|Ottawa|Canada}
William Lady Taylor,1882-01-01T00:00:00+02:00,1882-10-04,,{Ontario|Brantford|Canada}
Ernie Russell,1883-01-01T00:00:00+02:00,1883-10-21,male,{Canada|Montreal|Quebec}
Tom Hooper (ice hockey),1883-01-01T00:00:00+02:00,1883-11-24,male,{Ontario|Kenora|Canada}
Fred Lake (ice hockey),1883-01-01T00:00:00+02:00,1883-03-12,male,{Saskatchewan|Moosomin Saskatchewan|Canada}
Didier Pitre,1883-01-01T00:00:00+02:00,1883-09-01,male,{Salaberry-de-Valleyfield|Canada|Quebec}
Rowley Young,1883-01-01T00:00:00+02:00,1883-01-12,male,{Ontario|Waterloo Ontario|Canada}
Tommy Phillips,1883-01-01T00:00:00+02:00,1883-05-22,male,{Ontario|Kenora|Canada}
Harry Smith (ice hockey born 1883),1883-01-01T00:00:00+02:00,1883-12-29,male,{Ontario|Ottawa|Canada}
James Power (ice hockey),1883-01-01T00:00:00+02:00,1883-02-09,male,{Sillery Quebec City|Canada|Quebec}
Eddie Giroux,1883-01-01T00:00:00+02:00,1883-04-07,,{Ontario|Toronto|Canada}
Lester Patrick,1883-01-01T00:00:00+02:00,1883-12-30,male,{Drummondville|Canada|Quebec}
Horace Gaul,1883-01-01T00:00:00+02:00,1883-12-21,,{Gaspé Quebec|Canada|Quebec}
Fred Povey,1884-01-01T00:00:00+02:00,1884-03-01,male,{Canada|Sherbrooke|Quebec}
Sibby Nichols,1889-01-01T00:00:00+02:00,{1884-08-10|1889-01-01T00:00:00+02:00},male,{Ontario|North Glengarry Ontario|Canada}
Herb Jordan,1884-01-01T00:00:00+02:00,1884-10-23,,{Quebec City|Canada|Quebec}
Arthur Throop,1884-01-01T00:00:00+02:00,1884-08-19,male,{Ontario|Ottawa|Canada}
Owen McCourt,1884-01-01T00:00:00+02:00,1884-09-21,,{Ontario|Cornwall Ontario|Canada}
Bruce Ridpath,1884-01-01T00:00:00+02:00,1884-06-02,male,{Ontario|Selwyn Ontario|Canada}
Walter Smaill,1884-01-01T00:00:00+02:00,1884-12-18,,{Canada|Montreal|Quebec}
Marty Walsh (ice hockey),1884-01-01T00:00:00+02:00,1884-10-16,male,{Ontario|Canada|Kingston Ontario}
Horace Merrill,1884-01-01T00:00:00+02:00,1884-11-30,male,{Ontario|Toronto|Canada}
Cyclone Taylor,1884-01-01T00:00:00+02:00,1884-06-23,male,{Ontario|Tara Ontario|Canada}
Ernie Liffiton,1885-01-01T00:00:00+02:00,1885-01-25,male,{Canada|Montreal|Quebec}
Garnet Sixsmith,1885-01-01T00:00:00+02:00,1885-01-15,male,{Ontario|Ottawa|Canada}
Dick Carroll,1885-01-01T00:00:00+02:00,1885-04-28,male,{Ontario|Guelph|Canada}
Rusty Crawford,1885-01-01T00:00:00+02:00,1885-11-07,male,{Ontario|Edwardsburgh/Cardinal|Canada}
Tommy Smith (ice hockey),1885-01-01T00:00:00+02:00,1885-09-27,male,{Ontario|Ottawa|Canada}
Pierre Vézina (ice hockey),1885-01-01T00:00:00+02:00,1885-06-29,male,{Canada|Chicoutimi|Quebec}
Teddy Oke,1885-01-01T00:00:00+02:00,1885-09-20,male,{Ontario|Uxbridge Ontario|Canada}
George O'Donoghue,1885-01-01T00:00:00+02:00,1885-12-08,,{Ontario|Toronto|Canada}
Billy Gilmour,1885-01-01T00:00:00+02:00,1885-03-21,male,{Ontario|Ottawa|Canada}
Bobby Rowe (ice hockey),1885-01-01T00:00:00+02:00,1885-08-19,male,{Ontario|Canada|The Blue Mountains Ontario}
Frank Patrick (ice hockey),1885-01-01T00:00:00+02:00,1885-12-21,,{Ontario|Ottawa|Canada}
Hughie Lehman,1885-01-01T00:00:00+02:00,1885-10-27,male,{Ontario|Pembroke Ontario|Canada}
Charles Tobin,1885-01-01T00:00:00+02:00,1885-11-24,male,{Manitoba|Winnipeg|Canada}
Con Corbeau,1885-01-01T00:00:00+02:00,1885-05-08,,{Ontario|Penetanguishene|Canada}
Hamby Shore,1886-01-01T00:00:00+02:00,1886-02-12,,{Ontario|Ottawa|Canada}
Steve Vair,1886-01-01T00:00:00+02:00,1886-10-11,male,{Ontario|Barrie|Canada}
Art Ross,1886-01-01T00:00:00+02:00,1886-01-13,male,{Ontario|Walden Ontario|Canada}
Arthur Bernier,1886-01-01T00:00:00+02:00,1886-07-16,male,{Ontario|Canada|Kingston Ontario}
George McNamara,1886-01-01T00:00:00+02:00,1886-08-26,male,{Ontario|Penetanguishene|Canada}
George Richardson (ice hockey),1886-01-01T00:00:00+02:00,1886-09-14,male,{Ontario|Canada|Kingston Ontario}
Moose Johnson,1886-01-01T00:00:00+02:00,1886-02-26,male,{Canada|Montreal|Quebec}
Jack McDonald (ice hockey b. 1887),1887-01-01T00:00:00+02:00,1887-02-28,male,{Quebec City|Canada|Quebec}
Jack Ulrich,1887-01-01T00:00:00+02:00,1887-07-15,,{Ontario|Nipissing Ontario|Canada}
Thomas Westwick,1887-01-01T00:00:00+02:00,1887-06-28,male,{Ontario|Ottawa|Canada}
Fred Doherty,1887-01-01T00:00:00+02:00,1887-06-17,male,{Ontario|Canada|Asphodel-Norwood}
Patsy Séguin,1887-01-01T00:00:00+02:00,1887-05-02,male,{Canada|Montreal|Quebec}
Don Smith (ice hockey b. 1887),1887-01-01T00:00:00+02:00,{1887-06-04|1888-06-03},,{Ontario|Cornwall Ontario|Canada}
Skinner Poulin,1887-01-01T00:00:00+02:00,1887-09-17,male,{Smiths Falls|Canada}
Hector Dallaire,1887-01-01T00:00:00+02:00,1887-01-06,male,{Ontario|Canada|Rockland Ontario}
Art Brooks,1887-01-01T00:00:00+02:00,1887-03-29,male,{Ontario|Guelph|Canada}
Evariste Payer,1887-01-01T00:00:00+02:00,1887-12-12,,{Ontario|Canada|Rockland Ontario}
Georges Vézina,1887-01-01T00:00:00+02:00,1887-01-21,,{Canada|Chicoutimi|Quebec}
Louis Berlinguette,1887-01-01T00:00:00+02:00,1887-05-26,,{Papineauville Quebec|Canada|Quebec}
Newsy Lalonde,1887-01-01T00:00:00+02:00,1887-10-31,male,{Ontario|Cornwall Ontario|Canada}
Jack Walker (ice hockey),1888-01-01T00:00:00+02:00,{1888-11-28|1888-11-29},male,{Ontario|Whitefish River Valley|Canada}
Edgar Leduc (ice hockey),1888-01-01T00:00:00+02:00,1888-02-04,male,{Salaberry-de-Valleyfield|Canada|Quebec}
Joe Dennison,1888-01-01T00:00:00+02:00,1888-02-02,male,{Ontario|Ottawa|Canada}
Walter Rooney,1888-01-01T00:00:00+02:00,1888-02-13,male,{Quebec City|Canada|Quebec}
Ken Randall,1888-01-01T00:00:00+02:00,{1888-12-14|1888-12-24},male,{Ontario|Canada|Kingston Ontario}
Jack Ruttan,1889-01-01T00:00:00+02:00,1889-04-05,male,{Manitoba|Winnipeg|Canada}
Skene Ronan,1889-01-01T00:00:00+02:00,1889-02-09,male,{Ontario|Ottawa|Canada}
Harold McNamara,1889-01-01T00:00:00+02:00,1889-08-03,male,{Ontario|Canada|Randolph_Ontario}
Harry Hyland,1889-01-01T00:00:00+02:00,1889-01-02,,{Canada|Montreal|Quebec}
Oren Frood,1889-01-01T00:00:00+02:00,1889-02-10,,{Ontario|Renfrew Ontario|Canada}
Ran McDonald,1889-01-01T00:00:00+02:00,1889-11-21,male,{Ontario|South Glengarry Ontario|Canada}
Jack Darragh,1890-01-01T00:00:00+02:00,1890-12-04,,{Ontario|Ottawa|Canada}
Russell McCrimmon,1890-01-01T00:00:00+02:00,1890-03-01,male,{Ontario|Canada|Lorneville Ontario}
Smokey Harris,1890-01-01T00:00:00+02:00,1890-10-11,,{Ontario|Port Arthur Ontario|Canada}
Sprague Cleghorn,1890-01-01T00:00:00+02:00,1890-03-11,,{Canada|Montreal|Quebec}
Steamer Maxwell,1890-01-01T00:00:00+02:00,1890-05-19,male,{Manitoba|Winnipeg|Canada}
Harry Cameron,1890-01-01T00:00:00+02:00,1890-02-06,,{Ontario|Pembroke Ontario|Canada}
Eddie Gerard,1890-01-01T00:00:00+02:00,1890-02-22,male,{Ontario|Ottawa|Canada}
Joe Malone (ice hockey),1890-01-01T00:00:00+02:00,1890-02-28,male,{Quebec City|Canada|Quebec}
Bernie Morris,1890-01-01T00:00:00+02:00,1890-08-21,male,{Manitoba|Brandon Manitoba|Canada}
Jim Seaborn,1890-01-01T00:00:00+02:00,1890-03-06,,{Manitoba|Winnipeg|Canada}
Lloyd Cook,1890-01-01T00:00:00+02:00,1890-03-21,male,{Ontario|Canada|Lynden Ontario}
Carl Kendall,1890-01-01T00:00:00+02:00,1890-08-09,male,{Canada|Charlemagne Quebec|Quebec}
Gordon Roberts (ice hockey),1891-01-01T00:00:00+02:00,1891-09-05,,{Ontario|Ottawa|Canada}
Herb Gardiner,1891-01-01T00:00:00+02:00,1891-05-08,male,{Manitoba|Winnipeg|Canada}
Eddie Lowrey,1891-01-01T00:00:00+02:00,1891-08-13,,{Ontario|Manotick|Canada}
Angus Duford,1891-01-01T00:00:00+02:00,1891-10-18,male,{Ontario|Canada}
Art Boyce,1891-01-01T00:00:00+02:00,1891-01-01T00:00:00+02:00,,{Lachine Quebec|Canada|Quebec}
Art Duncan,1891-01-01T00:00:00+02:00,1891-07-04,male,{Ontario|Canada|Sault Ste. Marie Ontario}
Odie Cleghorn,1891-01-01T00:00:00+02:00,1891-09-19,,{Canada|Montreal|Quebec}
Alex Currie,1891-01-01T00:00:00+02:00,1891-12-11,male,{Ontario|Ottawa|Canada}
Alex Wellington,1891-01-01T00:00:00+02:00,1891-08-04,,{Ontario|Canada|Madoc Ontario}
Alf Barbour,1891-01-01T00:00:00+02:00,1891-06-01,male,{Manitoba|Canada|Souris Manitoba}
Dave Ritchie (ice hockey),1891-01-01T00:00:00+02:00,1891-10-01,male,{Canada|Montreal|Quebec}
George Prodgers,1891-01-01T00:00:00+02:00,1891-02-18,male,{Ontario|London Ontario|Canada}
Bert Cadotte,1891-01-01T00:00:00+02:00,{1891-01-02|1891-01-03},male,{Canada|Montreal|Quebec}
Billy Bell (ice hockey),1891-01-01T00:00:00+02:00,1891-06-10,male,{Lachine Quebec|Canada|Quebec}
Blaine Sexton,1891-01-01T00:00:00+02:00,{1891-05-03|1892-05-03},male,{Nova Scotia|Canada|Falmouth Nova Scotia}
Frank Foyston,1891-01-01T00:00:00+02:00,1891-02-02,male,{Ontario|Springwater Ontario|Canada}
Frank Rankin,1891-01-01T00:00:00+02:00,1891-04-01,,{Ontario|Canada|Stratford Ontario}
Howard Dea,1891-01-01T00:00:00+02:00,1891-04-09,male,{Ontario|Midland Ontario|Canada}
Cy Denneny,1891-01-01T00:00:00+02:00,1891-12-23,,{Ontario|Canada|Farran's Point Ontario}
Jack Coughlin (ice hockey),1892-01-01T00:00:00+02:00,1892-06-21,male,{Ontario|Canada|Douro-Dummer}
Hal Winkler,1892-01-01T00:00:00+02:00,1892-03-20,male,{Manitoba|Canada|Gretna Manitoba}
Dick Irvin,1892-01-01T00:00:00+02:00,1892-07-19,male,{Hamilton Ontario|Ontario|Canada}
Speed Moynes,1892-01-01T00:00:00+02:00,1892-07-14,male,{Ontario|Lindsay Ontario|Canada}
Hap Holmes,1892-01-01T00:00:00+02:00,1892-02-21,male,{Ontario|Aurora Ontario|Canada}
Hec Fowler,1892-01-01T00:00:00+02:00,1892-10-14,,{Saskatchewan|Saskatoon|Canada}
Edmond Bouchard,1892-01-01T00:00:00+02:00,1892-05-24,,{Saint-Étienne-des-Grès Quebec|Canada|Quebec}
Edwin Gorman,1892-01-01T00:00:00+02:00,1892-09-25,male,{Canada|Buckingham Quebec|Quebec}
Punch Broadbent,1892-01-01T00:00:00+02:00,1892-07-13,,{Ontario|Ottawa|Canada}
Del Irvine,1892-01-01T00:00:00+02:00,1892-11-24,male,{Ontario|Barrie|Canada}
George Box (ice hockey),1892-01-01T00:00:00+02:00,1892-10-27,male,{Ontario|Renfrew Ontario|Canada}
George Carey (ice hockey),1892-01-01T00:00:00+02:00,1892-11-04,male,{Canada|Montreal|Quebec}
George O'Grady,1892-01-01T00:00:00+02:00,1892-06-08,male,{Canada|Montreal|Quebec}
George Rochon,1892-01-01T00:00:00+02:00,1892-05-24,male,{Ontario|Canada|East Hawkesbury}
Bill Laird,1892-01-01T00:00:00+02:00,1892-10-29,male,{Ontario|Cobourg|Canada}
Billy Coutu,1892-01-01T00:00:00+02:00,1892-03-01,,{Ontario|North Bay Ontario|Canada}
Leo Cook,1892-01-01T00:00:00+02:00,1892-12-04,male,{Ontario|Canada|Communities in Norfolk County Ontario}
Leo Reise,1892-01-01T00:00:00+02:00,1892-06-07,male,{Ontario|Pembroke Ontario|Canada}
Frank Heffernan,1892-01-01T00:00:00+02:00,1892-01-12,,{Ontario|Canada|Peterborough Ontario}
Hyacinthe Guevremont,1892-01-01T00:00:00+02:00,1892-01-22,male,{Sorel-Tracy|Canada|Quebec}
Scotty Davidson,1892-01-01T00:00:00+02:00,1892-03-06,male,{Ontario|Canada|Kingston Ontario}
Charles Pletsch,1892-01-01T00:00:00+02:00,{1892-12-31|1893-12-31},male,{Ontario|Canada|Chesley Ontario}
Clint Benedict,1892-01-01T00:00:00+02:00,1892-09-26,male,{Ontario|Ottawa|Canada}
Cully Wilson,1892-01-01T00:00:00+02:00,1892-06-05,male,{Manitoba|Winnipeg|Canada}
Ivan Mitchell,1893-01-01T00:00:00+02:00,1893-07-09,male,{Manitoba|Winnipeg|Canada}
Roy Rickey,1893-01-01T00:00:00+02:00,1893-11-15,male,{Ontario|Ottawa|Canada}
Tommy McCarthy (ice hockey),1893-01-01T00:00:00+02:00,1893-04-12,,{Nova Scotia|St. Peter's Nova Scotia|Canada}
Barney Stanley,1893-01-01T00:00:00+02:00,1893-01-01,male,{Ontario|Canada|Paisley Ontario}
Phil Stevens (ice hockey),1893-01-01T00:00:00+02:00,1893-02-15,,{Saint-Lambert Quebec|Canada|Quebec}
Bert McCaffrey,1893-01-01T00:00:00+02:00,1893-04-12,,{Ontario|Canada|Chesley Ontario}
Bullet Joe Simpson,1893-01-01T00:00:00+02:00,1893-08-13,male,{Manitoba|Canada|Selkirk Manitoba}
Jocko Anderson,1893-01-01T00:00:00+02:00,{1893-04-10|1893-10-04},male,{Manitoba|Canada|St._Peters_Manitoba}
Alvin Fisher,1893-01-01T00:00:00+02:00,1893-01-05,male,{Ontario|Canada|Sault Ste. Marie Ontario}
Frank J. Selke,1893-01-01T00:00:00+02:00,1893-05-07,male,{Ontario|Kitchener Ontario|Canada}
Frank Nighbor,1893-01-01T00:00:00+02:00,1893-01-26,,{Ontario|Pembroke Ontario|Canada}
Howard McNamara,1893-01-01T00:00:00+02:00,1893-08-23,male,{Ontario|Canada}
Sammy Hebert,1893-01-01T00:00:00+02:00,1893-03-31,male,{Ontario|Ottawa|Canada}
Carl Battell,1893-01-01T00:00:00+02:00,1893-05-28,male,{Saskatchewan|Moose Jaw|Canada}
Ernie Parkes,1894-01-01T00:00:00+02:00,1894-11-04,,{British Columbia|Victoria British Columbia|Canada}
Gord Fraser (ice hockey),1902-01-01T00:00:00+02:00,{1894-03-03|1902-01-03},male,{Ontario|Pembroke Ontario|Canada}
Paul Jacobs (ice hockey),1894-01-01T00:00:00+02:00,1894-03-09,,{Canada|Montreal|Quebec}
Rod Smith (ice hockey),1894-01-01T00:00:00+02:00,1894-06-28,male,{Manitoba|Canada|Selkirk Manitoba}
Mickey MacKay,1894-01-01T00:00:00+02:00,1894-05-25,,{Ontario|Canada|Chesley Ontario}
Harry Helman,1894-01-01T00:00:00+02:00,1894-08-28,male,{Ontario|Ottawa|Canada}
Harry Meeking,1894-01-01T00:00:00+02:00,1894-11-04,male,{Ontario|Kitchener Ontario|Canada}
Helge Bostrom,1894-01-01T00:00:00+02:00,1894-01-09,male,{Manitoba|Winnipeg|Canada}
Babe Donnelly,1894-01-01T00:00:00+02:00,1894-12-22,male,{Ontario|Canada|Sault Ste. Marie Ontario}
Robert Benson (ice hockey),1894-01-01T00:00:00+02:00,1894-05-18,male,{Manitoba|Winnipeg|Canada}
Morley Bruce,1894-01-01T00:00:00+02:00,1894-03-07,male,{Ontario|North Gower|Canada}
Bert Corbeau,1894-01-01T00:00:00+02:00,1894-02-09,male,{Ontario|Penetanguishene|Canada}
Walter Byron,1894-01-01T00:00:00+02:00,1894-09-02,male,{Manitoba|Winnipeg|Canada}
Leth Graham,1894-01-01T00:00:00+02:00,1894-10-10,male,{Ontario|Ottawa|Canada}
Lloyd Andrews,1894-01-01T00:00:00+02:00,1894-11-04,,{Ontario|Tillsonburg|Canada}
Charlie Langlois,1894-01-01T00:00:00+02:00,1894-08-25,male,{Canada|Lotbinière Quebec|Quebec}
Clem Loughlin,1894-01-01T00:00:00+02:00,1894-11-15,male,{Manitoba|Canada|Carroll_Manitoba}
Corbett Denneny,1894-01-01T00:00:00+02:00,1894-01-25,male,{Ontario|Cornwall Ontario|Canada}
Jack Adams,1895-01-01T00:00:00+02:00,1895-06-14,male,{Ontario|Canada|Fort William Ontario}
Ernie Collett (ice hockey),1895-01-01T00:00:00+02:00,1895-03-03,male,{Ontario|Canada|York County Ontario}
Rod Smylie,1895-01-01T00:00:00+02:00,1895-09-28,male,{Ontario|Toronto|Canada}
Mickey Roach,1895-01-01T00:00:00+02:00,1895-05-07,male,{Nova Scotia|Canada|Glace Bay Nova Scotia}
Duke Keats,1895-01-01T00:00:00+02:00,1895-03-21,,{Canada|Montreal|Quebec}
Joseph McCormick (ice hockey),1895-01-01T00:00:00+02:00,1895-08-12,male,{Canada|Buckingham Quebec|Quebec}
Reg Noble,1895-01-01T00:00:00+02:00,1895-06-23,,{Ontario|Collingwood Ontario|Canada}
Phat Wilson,1895-01-01T00:00:00+02:00,1895-12-29,,{Ontario|Port Arthur Ontario|Canada}
George Hainsworth,1895-01-01T00:00:00+02:00,1895-06-26,male,{Ontario|Toronto|Canada}
Glenn Smith,1895-01-01T00:00:00+02:00,1895-04-25,male,{Ontario|Canada|Woodstock Ontario}
Bill Cook,1895-01-01T00:00:00+02:00,1895-10-09,male,{Ontario|Brantford|Canada}
Bill Tobin (ice hockey),1895-01-01T00:00:00+02:00,1895-05-20,male,{Ontario|Ottawa|Canada}
Amos Arbour,1895-01-01T00:00:00+02:00,1895-01-26,,{Ontario|Canada|Tay Ontario}
Frank Fredrickson,1895-01-01T00:00:00+02:00,1895-07-11,,{Manitoba|Winnipeg|Canada}
Howie Lockhart,1895-01-01T00:00:00+02:00,1895-03-21,,{Ontario|North Bay Ontario|Canada}
Charles Stewart (ice hockey),1895-01-01T00:00:00+02:00,1895-11-13,,{Ontario|Canada|Carleton Place}
John Morrison (ice hockey b. 1895),1895-01-01T00:00:00+02:00,1895-03-04,male,{Manitoba|Canada|Selkirk Manitoba}
Jack Mackell,1896-01-01T00:00:00+02:00,1896-04-12,male,{Ontario|Ottawa|Canada}
Paul Rivard,1896-01-01T00:00:00+02:00,1896-01-15,male,{Manitoba|Emerson Manitoba|Canada}
Rodger Smith,1896-01-01T00:00:00+02:00,1896-07-26,male,{Ontario|Ottawa|Canada}
Ty Arbour,1896-01-01T00:00:00+02:00,1896-06-29,male,{Ontario|Canada|Tay Ontario}
Shorty Green,1896-01-01T00:00:00+02:00,1896-07-17,male,{Ontario|Canada|Greater Sudbury}
Herb Drury,1896-01-01T00:00:00+02:00,1896-03-02,,{Ontario|Midland Ontario|Canada}
Konrad Johannesson,1896-01-01T00:00:00+02:00,1896-08-10,male,{Manitoba|Glenboro Manitoba|Canada}
Alf Skinner,1896-01-01T00:00:00+02:00,1896-01-26,male,{Ontario|Toronto|Canada}
Dave Campbell (ice hockey),1896-01-01T00:00:00+02:00,1896-04-27,,{Lachute|Canada|Quebec}
Georges Boucher,1896-01-01T00:00:00+02:00,1896-08-19,,{Ontario|Ottawa|Canada}
Jack Duggan,1897-01-01T00:00:00+02:00,1897-12-17,male,{Ontario|Ottawa|Canada}
Gord Spence,1897-01-01T00:00:00+02:00,1897-07-25,male,{Ontario|Temiskaming Shores|Canada}
Jake Forbes,1897-01-01T00:00:00+02:00,1897-07-04,,{Ontario|Toronto|Canada}
Archie Briden,1897-01-01T00:00:00+02:00,1897-07-16,male,{Ontario|Renfrew Ontario|Canada}
Art Gagné,1897-01-01T00:00:00+02:00,1897-10-11,male,{Ontario|Ottawa|Canada}
Red Dutton,1897-01-01T00:00:00+02:00,1897-07-23,male,{Manitoba|Russell Manitoba|Canada}
George Carroll (ice hockey),1897-01-01T00:00:00+02:00,1897-06-03,,{Moncton|New Brunswick|Canada}
Gerald Munro,1897-01-01T00:00:00+02:00,1897-11-20,male,{Ontario|Canada|Sault Ste. Marie Ontario}
Bill Adams (ice hockey),1897-01-01T00:00:00+02:00,1897-03-29,male,{Ontario|Canada|Fort William Ontario}
Vernon Forbes,1897-01-01T00:00:00+02:00,1897-07-04,male,{Ontario|Toronto|Canada}
Jimmy Herbert,1897-01-01T00:00:00+02:00,1897-10-31,male,{Ontario|Canada|Cayuga Ontario}
Frank Brophy,1897-01-01T00:00:00+02:00,1897-03-12,male,{Quebec City|Canada|Quebec}
Nobby Clark (ice hockey),1897-01-01T00:00:00+02:00,1897-06-18,male,{Ontario|Orillia|Canada}
Abbie Newell,1897-01-01T00:00:00+02:00,1897-06-12,male,{Manitoba|Winnipeg|Canada}
Charles Fraser (ice hockey),1897-01-01T00:00:00+02:00,1897-07-22,,{Nova Scotia|Stellarton|Canada}
