name,birthYear,birthDate,gender,birthplace
William Northey,1872-01-01T00:00:00+02:00,1872-04-29,male,
Rod Flett,1873-01-01T00:00:00+02:00,1873-02-27,male,
Mike Grant,1873-01-01T00:00:00+02:00,1873-11-27,male,{Canada|Montreal|Quebec}
Albert Morel,1873-01-01T00:00:00+02:00,1873-01-01T00:00:00+02:00,male,{Ontario|Ottawa|Canada}
Alf Smith,1873-01-01T00:00:00+02:00,1873-06-03,male,{Ontario|Ottawa|Canada}
Max Sillig,1873-01-01T00:00:00+02:00,1873-11-19,,{Switzerland|La_Tour-de-Peliz}
Mike Quinn (ice hockey),1874-01-01T00:00:00+02:00,1874-03-27,male,
James Link,1874-01-01T00:00:00+02:00,1874-01-01T00:00:00+02:00,male,
Charles Spittal,1874-01-01T00:00:00+02:00,{1874-11-10|1874-11-17},male,{Ontario|Ottawa|Canada}
Dan Bain,1874-01-01T00:00:00+02:00,1874-02-14,male,{Ontario|Belleville Ontario|Canada}
Graham Drinkwater,1875-01-01T00:00:00+02:00,1875-02-22,,{Canada|Montreal|Quebec}
Hartland MacDougall,1875-01-01T00:00:00+02:00,{1875-01-01|1876-03-10},male,{Canada|Montreal|Quebec}
Harvey Pulford,1875-01-01T00:00:00+02:00,1875-04-22,male,{Ontario|Toronto|Canada}
Lady Isobel Gathorne-Hardy,1875-01-01T00:00:00+02:00,1875-09-02,,
Raoul Le Mat,1875-01-01T00:00:00+02:00,1875-09-03,male,
Ernie McLea,1876-01-01T00:00:00+02:00,1876-02-05,male,{Canada|Montreal|Quebec}
Grindy Forrester,1876-01-01T00:00:00+02:00,1876-07-11,male,{Ontario|Barrie|Canada}
Tony Gingras,1876-01-01T00:00:00+02:00,1876-10-20,,{Manitoba|Saint Boniface Winnipeg|Canada}
James Strachan (ice hockey),1876-01-01T00:00:00+02:00,1876-01-01T00:00:00+02:00,male,
Rat Westwick,1876-01-01T00:00:00+02:00,1876-04-23,male,{Ontario|Ottawa|Canada}
Peter Patton,1876-01-01T00:00:00+02:00,1876-03-05,male,{England|London|United Kingdom of Great Britain and Ireland}
Robert MacDougall,1876-01-01T00:00:00+02:00,1876-03-02,male,
Jack Marshall (ice hockey),1877-01-01T00:00:00+02:00,1877-03-14,male,{Canada|Saint-Vallier Quebec|Quebec}
Emmett Quinn,1877-01-01T00:00:00+02:00,1877-09-10,,
Fred Scanlan,1877-01-01T00:00:00+02:00,1877-05-05,,{Canada|Montreal|Quebec}
Frederic McLaughlin,1877-01-01T00:00:00+02:00,1877-06-27,male,Chicago
Harry Trihey,1877-01-01T00:00:00+02:00,1877-12-25,,{Ontario|Kitchener Ontario|Canada}
Arthur Farrell,1877-01-01T00:00:00+02:00,1877-02-08,,{Canada|Montreal|Quebec}
Paddy Moran (ice hockey),1877-01-01T00:00:00+02:00,1877-03-11,male,{Quebec City|Canada|Quebec}
Robert Jones (ice hockey),1877-01-01T00:00:00+02:00,1877-05-17,male,
Bouse Hutton,1877-01-01T00:00:00+02:00,1877-10-24,,{Ontario|Ottawa|Canada}
Charles Querrie,1877-01-01T00:00:00+02:00,1877-07-25,,{Ontario|Markham Ontario|Canada}
William Duval (ice hockey),1877-01-01T00:00:00+02:00,{1877-01-01T00:00:00+02:00|1877-08-03},male,{Ontario|Ottawa|Canada}
Fred Higginbotham,1878-01-01T00:00:00+02:00,1878-01-01T00:00:00+02:00,male,
Percy Quinn,1878-01-01T00:00:00+02:00,1878-01-01T00:00:00+02:00,male,
Dickie Boon,1878-01-01T00:00:00+02:00,1878-01-10,male,{Ontario|Belleville Ontario|Canada}
Billy Nicholson (ice hockey),1878-01-01T00:00:00+02:00,1878-09-19,male,{Canada|Montreal|Quebec}
Charlie Liffiton,1878-01-01T00:00:00+02:00,1878-12-14,male,{Canada|Montreal|Quebec}
Chaucer Elliott,1878-01-01T00:00:00+02:00,1878-08-20,male,
Jack Laviolette,1879-01-01T00:00:00+02:00,1879-07-27,male,{Ontario|Belleville Ontario|Canada}
James A. McGee,1879-01-01T00:00:00+02:00,1879-05-16,male,
Allan Parr,1879-01-01T00:00:00+02:00,1879-08-16,male,{Ontario|Ottawa|Canada}
Lorne Campbell,,1879-10-08,male,{Ontario|Ottawa}
Frank Carroll (ice hockey),1879-01-01T00:00:00+02:00,1879-12-20,male,{Ontario|Guelph|Canada}
Hod Stuart,1879-01-01T00:00:00+02:00,1879-02-20,male,{Ontario|Ottawa|Canada}
Jack Gibson (ice hockey b. 1880),1880-01-01T00:00:00+02:00,1880-09-10,male,
Percival Molson,1880-01-01T00:00:00+02:00,1880-08-14,male,Cacouna Quebec
Roy Schooley,1880-01-01T00:00:00+02:00,1880-04-13,male,{Ontario|Welland|Canada}
Russell Bowie,1880-01-01T00:00:00+02:00,1880-08-24,male,{Canada|Montreal|Quebec}
Arthur Sixsmith,1880-01-01T00:00:00+02:00,{1880-01-01T00:00:00+02:00|1880-06-27},male,{Ontario|Ottawa|Canada}
Arthur A. C. Moore,1880-01-01T00:00:00+02:00,{1880-01-01T00:00:00+02:00|1880-08-25},,{Ontario|Acton Ontario|Canada}
Riley Hern,1880-01-01T00:00:00+02:00,1880-12-05,male,{Ontario|St. Marys Ontario|Canada}
Billy McGimsie,1880-01-01T00:00:00+02:00,1880-06-07,male,{Ontario|Woodville Ontario|Canada}
Blair Russel,1880-01-01T00:00:00+02:00,1880-09-17,male,{Canada|Montreal|Quebec}
Chief Jones,1880-01-01T00:00:00+02:00,1880-01-01T00:00:00+02:00,male,{Ontario|Renfrew Ontario|Canada}
Cecil Blachford,1880-01-01T00:00:00+02:00,1880-06-24,male,{Montreal|Quebec}
Charles Masson (ice hockey),1880-01-01T00:00:00+02:00,1880-12-06,male,{Ontario|Canada}
Percy LeSueur,1881-01-01T00:00:00+02:00,{1881-11-18|1881-11-21},male,{Quebec City|Canada|Quebec}
Pete Muldoon,1881-01-01T00:00:00+02:00,{1881-01-01T00:00:00+02:00|1881-06-04},,{Ontario|St. Marys Ontario}
Larry Gilmour,1881-01-01T00:00:00+02:00,1881-10-10,male,{Ontario|Lanark Ontario|Canada}
Joe Hall,1881-01-01T00:00:00+02:00,1881-05-03,male,{England|Staffordshire|United Kingdom}
Barney Holden,1881-01-01T00:00:00+02:00,1881-03-21,male,{Manitoba|Winnipeg|Canada}
Archie Hooper,1881-01-01T00:00:00+02:00,{1881-09-11|1881-09-17},male,{Saint-Lambert Quebec|Canada|Quebec}
Oliver Seibert,1881-01-01T00:00:00+02:00,1881-03-18,,{Ontario|Kitchener Ontario|Canada}
Bert Lindsay,1881-01-01T00:00:00+02:00,1881-07-23,,{Ontario|Centre Wellington Ontario|Canada}
Billy Bawlf,1881-01-01T00:00:00+02:00,1881-01-17,male,{Manitoba|Winnipeg|Canada}
Bones Allan,1881-01-01T00:00:00+02:00,1881-09-12,male,{Ontario|Cornwall Ontario|Canada}
Bruce Stuart,1881-01-01T00:00:00+02:00,1881-11-30,,{Ontario|Ottawa|Canada}
Jimmy Gardner (ice hockey),1881-01-01T00:00:00+02:00,1881-05-21,male,{Canada|Montreal|Quebec}
Joseph Cattarinich,1881-01-01T00:00:00+02:00,1881-11-12,male,{Lévis Quebec|Canada|Quebec}
Kenneth Thompson (ice hockey),1881-01-01T00:00:00+02:00,1881-05-29,male,{England|Oakengates|Shropshire|United Kingdom|United Kingdom of Great Britain and Ireland}
Jack Fraser (ice hockey born 1882),1882-01-01T00:00:00+02:00,1882-05-28,male,{Ontario|Renfrew Ontario|Canada}
Jack Marks (ice hockey),1882-01-01T00:00:00+02:00,1882-02-08,male,{Ontario|Brantford|Canada}
Jack Winchester,1882-01-01T00:00:00+02:00,1882-01-01T00:00:00+02:00,male,{Ontario|Belleville Ontario|Canada}
Ernie Dubeau,1882-01-01T00:00:00+02:00,1882-01-01T00:00:00+02:00,male,
Fred Whitcroft,1882-01-01T00:00:00+02:00,1882-12-20,,{Ontario|Port Perry|Canada}
Ed Millaire,1882-01-01T00:00:00+02:00,1882-01-01T00:00:00+02:00,male,
Dave Gilmour (ice hockey b. 1882),1882-01-01T00:00:00+02:00,1882-01-01T00:00:00+02:00,male,
George Cochrane (ice hockey),1882-01-01T00:00:00+02:00,1882-01-01T00:00:00+02:00,male,
Frank McGee (ice hockey),1882-01-01T00:00:00+02:00,1882-11-04,male,{Ontario|Ottawa|Canada}
William Lady Taylor,1882-01-01T00:00:00+02:00,1882-10-04,,{Ontario|Brantford|Canada}
Ernie Russell,1883-01-01T00:00:00+02:00,1883-10-21,male,{Canada|Montreal|Quebec}
Tom Hooper (ice hockey),1883-01-01T00:00:00+02:00,1883-11-24,male,{Ontario|Kenora|Canada}
Fred Lake (ice hockey),1883-01-01T00:00:00+02:00,1883-03-12,male,{Saskatchewan|Moosomin Saskatchewan|Canada}
Didier Pitre,1883-01-01T00:00:00+02:00,1883-09-01,male,{Salaberry-de-Valleyfield|Canada|Quebec}
Rowley Young,1883-01-01T00:00:00+02:00,1883-01-12,male,{Ontario|Waterloo Ontario|Canada}
Tommy Phillips,1883-01-01T00:00:00+02:00,1883-05-22,male,{Ontario|Kenora|Canada}
Si Griffis,1883-01-01T00:00:00+02:00,1883-09-22,male,{Kansas|Onaga Kansas|United States}
Harry Smith (ice hockey born 1883),1883-01-01T00:00:00+02:00,1883-12-29,male,{Ontario|Ottawa|Canada}
James Power (ice hockey),1883-01-01T00:00:00+02:00,1883-02-09,male,{Sillery Quebec City|Canada|Quebec}
Eddie Giroux,1883-01-01T00:00:00+02:00,1883-04-07,,{Ontario|Toronto|Canada}
Edgar Dey,1883-01-01T00:00:00+02:00,1883-05-01,male,Ottawa
Billy Breen,1883-01-01T00:00:00+02:00,1883-01-01T00:00:00+02:00,,
Lester Patrick,1883-01-01T00:00:00+02:00,1883-12-30,male,{Drummondville|Canada|Quebec}
Horace Gaul,1883-01-01T00:00:00+02:00,1883-12-21,,{Gaspé Quebec|Canada|Quebec}
Cecil Hart,1883-01-01T00:00:00+02:00,1883-11-28,male,
Jack Bickell,1884-01-01T00:00:00+02:00,1884-09-26,,
Fred Povey,1884-01-01T00:00:00+02:00,1884-03-01,male,{Canada|Sherbrooke|Quebec}
Roxy Beaudro,1884-01-01T00:00:00+02:00,1884-02-29,male,{Minnesota|Red Lake Falls Minnesota|United States}
Sibby Nichols,1889-01-01T00:00:00+02:00,{1884-08-10|1889-01-01T00:00:00+02:00},male,{Ontario|North Glengarry Ontario|Canada}
Herb Jordan,1884-01-01T00:00:00+02:00,1884-10-23,,{Quebec City|Canada|Quebec}
Eddie Livingstone,1884-01-01T00:00:00+02:00,1884-09-12,male,
Arthur Throop,1884-01-01T00:00:00+02:00,1884-08-19,male,{Ontario|Ottawa|Canada}
Angus Daniel Campbell,1884-01-01T00:00:00+02:00,1884-03-19,male,
Owen McCourt,1884-01-01T00:00:00+02:00,1884-09-21,,{Ontario|Cornwall Ontario|Canada}
Suddy Gilmour,1884-01-01T00:00:00+02:00,1884-01-01T00:00:00+02:00,male,
Billy Baird,1884-01-01T00:00:00+02:00,1884-01-01T00:00:00+02:00,male,
Bruce Ridpath,1884-01-01T00:00:00+02:00,1884-06-02,male,{Ontario|Selwyn Ontario|Canada}
Walter Smaill,1884-01-01T00:00:00+02:00,1884-12-18,,{Canada|Montreal|Quebec}
Lloyd Turner,1884-01-01T00:00:00+02:00,1884-08-09,,Springwater Ontario
Frank Glass,1884-01-01T00:00:00+02:00,1884-02-10,male,{Scotland|United Kingdom of Great Britain and Ireland|Kirk's_Ferry_Scotland}
Frank Winters (ice hockey),1884-01-01T00:00:00+02:00,1884-01-01T00:00:00+02:00,male,
Marty Walsh (ice hockey),1884-01-01T00:00:00+02:00,1884-10-16,male,{Ontario|Canada|Kingston Ontario}
Nick Bawlf,1884-01-01T00:00:00+02:00,1884-01-04,male,Winnipeg
Horace Merrill,1884-01-01T00:00:00+02:00,1884-11-30,male,{Ontario|Toronto|Canada}
Cyclone Taylor,1884-01-01T00:00:00+02:00,1884-06-23,male,{Ontario|Tara Ontario|Canada}
Ken Mallen,1884-01-01T00:00:00+02:00,1884-10-04,male,{Ontario|Morrisburg Ontario}
Ernie Liffiton,1885-01-01T00:00:00+02:00,1885-01-25,male,{Canada|Montreal|Quebec}
Garnet Sixsmith,1885-01-01T00:00:00+02:00,1885-01-15,male,{Ontario|Ottawa|Canada}
Dick Carroll,1885-01-01T00:00:00+02:00,1885-04-28,male,{Ontario|Guelph|Canada}
Rusty Crawford,1885-01-01T00:00:00+02:00,1885-11-07,male,{Ontario|Edwardsburgh/Cardinal|Canada}
Miloslav Fleischmann,1885-01-01T00:00:00+02:00,1885-01-01T00:00:00+02:00,male,
Tommy Smith (ice hockey),1885-01-01T00:00:00+02:00,1885-09-27,male,{Ontario|Ottawa|Canada}
Harry Manson,1885-01-01T00:00:00+02:00,1885-01-01T00:00:00+02:00,,
Jan Fleischmann,1885-01-01T00:00:00+02:00,1885-07-06,male,Kingdom of Bohemia
Pierre Vézina (ice hockey),1885-01-01T00:00:00+02:00,1885-06-29,male,{Canada|Chicoutimi|Quebec}
Teddy Oke,1885-01-01T00:00:00+02:00,1885-09-20,male,{Ontario|Uxbridge Ontario|Canada}
George O'Donoghue,1885-01-01T00:00:00+02:00,1885-12-08,,{Ontario|Toronto|Canada}
Billy Gilmour,1885-01-01T00:00:00+02:00,1885-03-21,male,{Ontario|Ottawa|Canada}
Billy Hague,1885-01-01T00:00:00+02:00,1885-04-09,male,{England|London}
Bobby Rowe (ice hockey),1885-01-01T00:00:00+02:00,1885-08-19,male,{Ontario|Canada|The Blue Mountains Ontario}
Allan Loney,1885-01-01T00:00:00+02:00,1885-01-01T00:00:00+02:00,male,
Ambrose O'Brien,1885-01-01T00:00:00+02:00,1885-05-27,male,
Frank Patrick (ice hockey),1885-01-01T00:00:00+02:00,1885-12-21,,{Ontario|Ottawa|Canada}
Hughie Lehman,1885-01-01T00:00:00+02:00,1885-10-27,male,{Ontario|Pembroke Ontario|Canada}
Charles Tobin,1885-01-01T00:00:00+02:00,1885-11-24,male,{Manitoba|Winnipeg|Canada}
Con Corbeau,1885-01-01T00:00:00+02:00,1885-05-08,,{Ontario|Penetanguishene|Canada}
Ernest Jacquet,1886-01-01T00:00:00+02:00,1886-09-25,male,
Hamby Shore,1886-01-01T00:00:00+02:00,1886-02-12,,{Ontario|Ottawa|Canada}
Paul Müller (ice hockey),1886-01-01T00:00:00+02:00,1886-02-22,male,
Steve Vair,1886-01-01T00:00:00+02:00,1886-10-11,male,{Ontario|Barrie|Canada}
Jaroslav Řezáč,1886-01-01T00:00:00+02:00,1886-02-06,male,
Joe Linder,1886-01-01T00:00:00+02:00,1886-08-12,male,{Michigan|Hancock Michigan|United States}
Joe Power (ice hockey),1886-01-01T00:00:00+02:00,1886-01-12,,
Art Ross,1886-01-01T00:00:00+02:00,1886-01-13,male,{Ontario|Walden Ontario|Canada}
Arthur Bernier,1886-01-01T00:00:00+02:00,1886-07-16,male,{Ontario|Canada|Kingston Ontario}
Sune Almkvist,1886-01-01T00:00:00+02:00,1886-02-04,male,
Dave Gill,1886-01-01T00:00:00+02:00,1886-01-01T00:00:00+02:00,male,
George McNamara,1886-01-01T00:00:00+02:00,1886-08-26,male,{Ontario|Penetanguishene|Canada}
George Richardson (ice hockey),1886-01-01T00:00:00+02:00,1886-09-14,male,{Ontario|Canada|Kingston Ontario}
Moose Johnson,1886-01-01T00:00:00+02:00,1886-02-26,male,{Canada|Montreal|Quebec}
Bruno Leuzinger,1886-01-01T00:00:00+02:00,1886-01-06,,
Jack McDonald (ice hockey b. 1887),1887-01-01T00:00:00+02:00,1887-02-28,male,{Quebec City|Canada|Quebec}
Jack Ulrich,1887-01-01T00:00:00+02:00,1887-07-15,,{Ontario|Nipissing Ontario|Canada}
Thomas Westwick,1887-01-01T00:00:00+02:00,1887-06-28,male,{Ontario|Ottawa|Canada}
Fred Doherty,1887-01-01T00:00:00+02:00,1887-06-17,male,{Ontario|Canada|Asphodel-Norwood}
Patsy Séguin,1887-01-01T00:00:00+02:00,1887-05-02,male,{Canada|Montreal|Quebec}
Don Smith (ice hockey b. 1887),1887-01-01T00:00:00+02:00,{1887-06-04|1888-06-03},,{Ontario|Cornwall Ontario|Canada}
Rodolphe Cuendet,1887-01-01T00:00:00+02:00,1887-01-01T00:00:00+02:00,male,
Tommy Dunderdale,1887-01-01T00:00:00+02:00,1887-05-06,male,{Benalla|Australia}
Skinner Poulin,1887-01-01T00:00:00+02:00,1887-09-17,male,{Smiths Falls|Canada}
Harry Scott (ice hockey),1887-01-01T00:00:00+02:00,1887-11-30,male,
Hector Dallaire,1887-01-01T00:00:00+02:00,1887-01-06,male,{Ontario|Canada|Rockland Ontario}
Eddie Carpenter,1887-01-01T00:00:00+02:00,1887-06-15,male,{Michigan|Hartford Michigan|United States}
Art Brooks,1887-01-01T00:00:00+02:00,1887-03-29,male,{Ontario|Guelph|Canada}
Evariste Payer,1887-01-01T00:00:00+02:00,1887-12-12,,{Ontario|Canada|Rockland Ontario}
Georges Vézina,1887-01-01T00:00:00+02:00,1887-01-21,,{Canada|Chicoutimi|Quebec}
Alfred de Rauch,1887-01-01T00:00:00+02:00,1887-06-13,,
Alphonse Jetté,1887-01-01T00:00:00+02:00,1887-12-24,,
Louis Berlinguette,1887-01-01T00:00:00+02:00,1887-05-26,,{Papineauville Quebec|Canada|Quebec}
Newsy Lalonde,1887-01-01T00:00:00+02:00,1887-10-31,male,{Ontario|Cornwall Ontario|Canada}
Jack Walker (ice hockey),1888-01-01T00:00:00+02:00,{1888-11-28|1888-11-29},male,{Ontario|Whitefish River Valley|Canada}
Thomas Sopwith,1888-01-01T00:00:00+02:00,1888-01-18,,
Paul Loicq,1888-01-01T00:00:00+02:00,1888-08-11,male,
Russell Phillips (ice hockey),1888-01-01T00:00:00+02:00,1888-09-17,,
Jan Palouš,1888-01-01T00:00:00+02:00,1888-10-25,male,{Czechoslovakia|České Budějovice}
Eddie Powers,1888-01-01T00:00:00+02:00,1888-01-01T00:00:00+02:00,male,
Edgar Leduc (ice hockey),1888-01-01T00:00:00+02:00,1888-02-04,male,{Salaberry-de-Valleyfield|Canada|Quebec}
Joe Dennison,1888-01-01T00:00:00+02:00,1888-02-02,male,{Ontario|Ottawa|Canada}
Karel Hartmann,1888-01-01T00:00:00+02:00,1888-08-24,male,
Karel Wälzer,1888-01-01T00:00:00+02:00,1888-08-28,,
Albert Kerr,1888-01-01T00:00:00+02:00,1888-06-19,male,{Ontario|Brockville}
George Broughton (ice hockey),1888-01-01T00:00:00+02:00,1888-01-07,male,
Walter Rooney,1888-01-01T00:00:00+02:00,1888-02-13,male,{Quebec City|Canada|Quebec}
Jeff Malone (ice hockey),1888-01-01T00:00:00+02:00,1888-03-17,male,
Ken Randall,1888-01-01T00:00:00+02:00,{1888-12-14|1888-12-24},male,{Ontario|Canada|Kingston Ontario}
Jack Ruttan,1889-01-01T00:00:00+02:00,1889-04-05,male,{Manitoba|Winnipeg|Canada}
Skene Ronan,1889-01-01T00:00:00+02:00,1889-02-09,male,{Ontario|Ottawa|Canada}
Harold McNamara,1889-01-01T00:00:00+02:00,1889-08-03,male,{Ontario|Canada|Randolph_Ontario}
Harry Hyland,1889-01-01T00:00:00+02:00,1889-01-02,,{Canada|Montreal|Quebec}
Harry Mummery,1889-01-01T00:00:00+02:00,1889-08-25,,{Chicago|Illinois|United States}
Henri Van den Bulcke,1889-01-01T00:00:00+02:00,1889-01-01T00:00:00+02:00,male,
Léo Dandurand,1889-01-01T00:00:00+02:00,1889-07-09,male,
Eddie Oatman,1889-01-01T00:00:00+02:00,1889-06-10,male,{Ontario|Norwich Ontario}
Archie McLean (ice hockey),1889-01-01T00:00:00+02:00,1889-03-10,male,Bracebridge Ontario
Oren Frood,1889-01-01T00:00:00+02:00,1889-02-10,,{Ontario|Renfrew Ontario|Canada}
Otakar Vindyš,1889-01-01T00:00:00+02:00,1889-04-09,male,
Ran McDonald,1889-01-01T00:00:00+02:00,1889-11-21,male,{Ontario|South Glengarry Ontario|Canada}
Raymie Skilton,1889-01-01T00:00:00+02:00,1889-09-26,,{Cambridge Massachusetts|Massachusetts|United States}
Moylan McDonnell,1889-01-01T00:00:00+02:00,1889-08-27,,
Andy Kyle,1889-01-01T00:00:00+02:00,1889-10-29,male,Toronto
Nils Molander,1889-01-01T00:00:00+02:00,1889-06-22,male,
Connie Benson,1889-01-01T00:00:00+02:00,1889-04-25,male,Saskatchewan
Jack Darragh,1890-01-01T00:00:00+02:00,1890-12-04,,{Ontario|Ottawa|Canada}
Jack Hughes (ice hockey born 1890),1890-01-01T00:00:00+02:00,1890-01-01T00:00:00+02:00,,
Gordon Meeking,1890-01-01T00:00:00+02:00,1890-08-26,,
Franz Kreisel,1890-01-01T00:00:00+02:00,1890-01-06,male,
Russell McCrimmon,1890-01-01T00:00:00+02:00,1890-03-01,male,{Ontario|Canada|Lorneville Ontario}
Smokey Harris,1890-01-01T00:00:00+02:00,1890-10-11,,{Ontario|Port Arthur Ontario|Canada}
Sprague Cleghorn,1890-01-01T00:00:00+02:00,1890-03-11,,{Canada|Montreal|Quebec}
Steamer Maxwell,1890-01-01T00:00:00+02:00,1890-05-19,male,{Manitoba|Winnipeg|Canada}
Hansjacob Mattsson,1890-01-01T00:00:00+02:00,1890-06-02,male,
Harry Cameron,1890-01-01T00:00:00+02:00,1890-02-06,,{Ontario|Pembroke Ontario|Canada}
Lawrence McCormick,1890-01-01T00:00:00+02:00,1890-07-12,,
Eddie Gerard,1890-01-01T00:00:00+02:00,1890-02-22,male,{Ontario|Ottawa|Canada}
Joe Malone (ice hockey),1890-01-01T00:00:00+02:00,1890-02-28,male,{Quebec City|Canada|Quebec}
Bernie Morris,1890-01-01T00:00:00+02:00,1890-08-21,male,{Manitoba|Brandon Manitoba|Canada}
Jim Seaborn,1890-01-01T00:00:00+02:00,1890-03-06,,{Manitoba|Winnipeg|Canada}
Lloyd Cook,1890-01-01T00:00:00+02:00,1890-03-21,male,{Ontario|Canada|Lynden Ontario}
Frank Synott,1890-01-01T00:00:00+02:00,1890-12-28,male,Chatham New Brunswick
Carl Kendall,1890-01-01T00:00:00+02:00,1890-08-09,male,{Canada|Charlemagne Quebec|Quebec}
Colin Carruthers,1890-01-01T00:00:00+02:00,1890-09-17,male,
Cooper Smeaton,1890-01-01T00:00:00+02:00,1890-07-22,male,
Irving Small,1891-01-01T00:00:00+02:00,1891-07-19,male,
Ernest Mottier,1891-01-01T00:00:00+02:00,1891-04-16,male,
Gordon Roberts (ice hockey),1891-01-01T00:00:00+02:00,1891-09-05,,{Ontario|Ottawa|Canada}
Guy Clarkson,1891-01-01T00:00:00+02:00,1891-01-01,male,
Roy McGiffin,1891-01-01T00:00:00+02:00,1891-01-01T00:00:00+02:00,male,
Ruben Allinger,1891-01-01T00:00:00+02:00,1891-12-23,male,Uppsala
Herb Gardiner,1891-01-01T00:00:00+02:00,1891-05-08,male,{Manitoba|Winnipeg|Canada}
Jaroslav Jirkovský,1891-01-01T00:00:00+02:00,1891-03-08,male,
Eddie Lowrey,1891-01-01T00:00:00+02:00,1891-08-13,,{Ontario|Manotick|Canada}
Edward Fitzgerald (ice hockey),1891-01-01T00:00:00+02:00,1891-08-03,,
Angus Duford,1891-01-01T00:00:00+02:00,1891-10-18,male,{Ontario|Canada}
Art Boyce,1891-01-01T00:00:00+02:00,1891-01-01T00:00:00+02:00,,{Lachine Quebec|Canada|Quebec}
Art Duncan,1891-01-01T00:00:00+02:00,1891-07-04,male,{Ontario|Canada|Sault Ste. Marie Ontario}
Odie Cleghorn,1891-01-01T00:00:00+02:00,1891-09-19,,{Canada|Montreal|Quebec}
Alex Currie,1891-01-01T00:00:00+02:00,1891-12-11,male,{Ontario|Ottawa|Canada}
Alex Wellington,1891-01-01T00:00:00+02:00,1891-08-04,,{Ontario|Canada|Madoc Ontario}
Alf Barbour,1891-01-01T00:00:00+02:00,1891-06-01,male,{Manitoba|Canada|Souris Manitoba}
Dave Ritchie (ice hockey),1891-01-01T00:00:00+02:00,1891-10-01,male,{Canada|Montreal|Quebec}
George Prodgers,1891-01-01T00:00:00+02:00,1891-02-18,male,{Ontario|London Ontario|Canada}
Bert Cadotte,1891-01-01T00:00:00+02:00,{1891-01-02|1891-01-03},male,{Canada|Montreal|Quebec}
Billy Bell (ice hockey),1891-01-01T00:00:00+02:00,1891-06-10,male,{Lachine Quebec|Canada|Quebec}
Blaine Sexton,1891-01-01T00:00:00+02:00,{1891-05-03|1892-05-03},male,{Nova Scotia|Canada|Falmouth Nova Scotia}
Leon Tuck,1891-01-01T00:00:00+02:00,1891-05-25,,
Frank Foyston,1891-01-01T00:00:00+02:00,1891-02-02,male,{Ontario|Springwater Ontario|Canada}
Frank Rankin,1891-01-01T00:00:00+02:00,1891-04-01,,{Ontario|Canada|Stratford Ontario}
Howard Dea,1891-01-01T00:00:00+02:00,1891-04-09,male,{Ontario|Midland Ontario|Canada}
Cy Denneny,1891-01-01T00:00:00+02:00,1891-12-23,,{Ontario|Canada|Farran's Point Ontario}
Johnny Matz,1891-01-01T00:00:00+02:00,1891-06-01,male,{Nebraska|Omaha Nebraska|United States}
Josef Šroubek,1891-01-01T00:00:00+02:00,1891-12-02,male,
Jack Coughlin (ice hockey),1892-01-01T00:00:00+02:00,1892-06-21,male,{Ontario|Canada|Douro-Dummer}
Hal Winkler,1892-01-01T00:00:00+02:00,1892-03-20,male,{Manitoba|Canada|Gretna Manitoba}
Dick Irvin,1892-01-01T00:00:00+02:00,1892-07-19,male,{Hamilton Ontario|Ontario|Canada}
Ross Cuthbert (ice hockey),1892-01-01T00:00:00+02:00,1892-02-06,male,
